Beam_I [mm4],Column_I [mm4],Bracing_A [mm2],Load_Lat [kN],Disp_lat [m]
0.8014,10.33,238.0,30.0,0.004959139905005607
0.8014,10.33,238.0,40.0,0.006608981995531419
0.8014,10.33,238.0,50.0,0.008258824086057225
0.8014,10.33,254.0,10.0,0.0015543285282507908
0.8014,10.33,254.0,20.0,0.0030989599201446823
0.8014,10.33,254.0,30.0,0.004643591312038573
0.8014,10.33,254.0,40.0,0.006188222703932463
0.8014,10.33,254.0,50.0,0.007732854095826357
0.8014,10.33,307.0,10.0,0.0012847012409372013
0.8014,10.33,307.0,20.0,0.002559434119371326
0.8014,10.33,307.0,30.0,0.0038341669978054506
0.8014,10.33,307.0,40.0,0.005108899876239577
0.8014,10.33,307.0,50.0,0.0063836327546737005
0.8014,10.33,373.0,10.0,0.0010566166928570443
0.8014,10.33,373.0,20.0,0.00210293764654589
0.8014,10.33,373.0,30.0,0.003149258600234736
0.8014,10.33,373.0,40.0,0.004195579553923582
0.8014,10.33,373.0,50.0,0.005241900507612427
0.8014,10.33,325.0,10.0,0.0012132413092170134
0.8014,10.33,325.0,20.0,0.0024164238925665346
0.8014,10.33,325.0,30.0,0.003619606475916057
0.8014,10.33,325.0,40.0,0.004822789059265579
0.8014,10.33,325.0,50.0,0.006025971642615103
0.8014,16.73,137.0,10.0,0.0028818407323903884
0.8014,16.73,137.0,20.0,0.0057546671018785765
0.8014,16.73,137.0,30.0,0.008627493471366763
0.8014,16.73,137.0,40.0,0.01150031984085495
0.8014,16.73,137.0,50.0,0.01437314621034314
0.8014,16.73,153.0,10.0,0.0025776800789429405
0.8014,16.73,153.0,20.0,0.005146262563978245
0.8014,16.73,153.0,30.0,0.007714845049013551
0.8014,16.73,153.0,40.0,0.010283427534048855
0.8014,16.73,153.0,50.0,0.012852010019084158
0.8014,16.73,182.0,10.0,0.002162944560699394
0.8014,16.73,182.0,20.0,0.004316643192566894
0.8014,16.73,182.0,30.0,0.006470341824434398
0.8014,16.73,182.0,40.0,0.008624040456301897
0.8014,16.73,182.0,50.0,0.010777739088169399
0.8014,16.73,178.0,10.0,0.0022120962079783396
0.8014,16.73,178.0,20.0,0.004414966761229583
0.8014,16.73,178.0,30.0,0.00661783731448083
0.8014,16.73,178.0,40.0,0.00882070786773207
0.8014,16.73,178.0,50.0,0.011023578420983315
0.8014,16.73,198.0,10.0,0.001986249891371175
0.8014,16.73,198.0,20.0,0.00396317332830603
0.8014,16.73,198.0,30.0,0.0059400967652408826
0.8014,16.73,198.0,40.0,0.007917020202175737
0.8014,16.73,198.0,50.0,0.009893943639110588
0.8014,16.73,238.0,10.0,0.0016487466533783202
0.8014,16.73,238.0,20.0,0.0032879693288364836
0.8014,16.73,238.0,30.0,0.004927192004294646
0.8014,16.73,238.0,40.0,0.006566414679752811
0.8014,16.73,238.0,50.0,0.008205637355210973
0.8014,16.73,254.0,10.0,0.0015436153788032842
0.8014,16.73,254.0,20.0,0.0030776291952088145
0.8014,16.73,254.0,30.0,0.004611643011614345
0.8014,16.73,254.0,40.0,0.006145656828019874
0.8014,16.73,254.0,50.0,0.0076796706444254076
0.8014,16.73,307.0,10.0,0.0012739745529105951
0.8014,16.73,307.0,20.0,0.002538095859950702
0.8014,16.73,307.0,30.0,0.00380221716699081
0.8014,16.73,307.0,40.0,0.005066338474030919
0.8014,16.73,307.0,50.0,0.0063304597810710265
0.8014,16.73,373.0,10.0,0.00104587304390963
0.8014,16.73,373.0,20.0,0.0020815897033053406
0.8014,16.73,373.0,30.0,0.0031173063627010526
0.8014,16.73,373.0,40.0,0.004153023022096762
0.8014,16.73,373.0,50.0,0.005188739681492475
0.8014,16.73,325.0,10.0,0.0012025100086299697
0.8014,16.73,325.0,20.0,0.0023950830273042393
0.8014,16.73,325.0,30.0,0.0035876560459785103
0.8014,16.73,325.0,40.0,0.004780229064652778
0.8014,16.73,325.0,50.0,0.0059728020833270485
0.8014,25.1,137.0,10.0,0.0028753950703507953
0.8014,25.1,137.0,20.0,0.0057418075419485935
0.8014,25.1,137.0,30.0,0.008608220013546396
0.8014,25.1,137.0,40.0,0.01147463248514419
0.8014,25.1,137.0,50.0,0.014341044956741983
0.8014,25.1,153.0,10.0,0.002571232664335099
0.8014,25.1,153.0,20.0,0.005133403190035567
0.8014,25.1,153.0,30.0,0.0076955737157360345
0.8014,25.1,153.0,40.0,0.010257744241436504
0.8014,25.1,153.0,50.0,0.012819914767136967
0.8014,25.1,182.0,10.0,0.002156493881101867
0.8014,25.1,182.0,20.0,0.004303783962664963
0.8014,25.1,182.0,30.0,0.006451074044228059
0.8014,25.1,182.0,40.0,0.008598364125791156
0.8014,25.1,182.0,50.0,0.01074565420735425
0.8014,25.1,178.0,10.0,0.0022056459856558846
0.8014,25.1,178.0,20.0,0.004402107526529709
0.8014,25.1,178.0,30.0,0.0065985690674035345
0.8014,25.1,178.0,40.0,0.008795030608277358
0.8014,25.1,178.0,50.0,0.010991492149151183
0.8014,25.1,198.0,10.0,0.0019797973602024873
0.8014,25.1,198.0,20.0,0.003950314068971248
0.8014,25.1,198.0,30.0,0.005920830777740008
0.8014,25.1,198.0,40.0,0.007891347486508766
0.8014,25.1,198.0,50.0,0.009861864195277528
0.8014,25.1,238.0,10.0,0.0016422893355038546
0.8014,25.1,238.0,20.0,0.003275109656694427
0.8014,25.1,238.0,30.0,0.0049079299778850005
0.8014,25.1,238.0,40.0,0.006540750299075573
0.8014,25.1,238.0,50.0,0.008173570620266144
0.8014,25.1,254.0,10.0,0.0015371560835695862
0.8014,25.1,254.0,20.0,0.0030647692242163622
0.8014,25.1,254.0,30.0,0.004592382364863138
0.8014,25.1,254.0,40.0,0.006119995505509915
0.8014,25.1,254.0,50.0,0.007647608646156691
0.8014,25.1,307.0,10.0,0.001267508458976447
0.8014,25.1,307.0,20.0,0.0025252343742917316
0.8014,25.1,307.0,30.0,0.003782960289607017
0.8014,25.1,307.0,40.0,0.005040686204922301
0.8014,25.1,307.0,50.0,0.006298412120237586
0.8014,25.1,373.0,10.0,0.0010393979773273465
0.8014,25.1,373.0,20.0,0.0020687252768683143
0.8014,25.1,373.0,30.0,0.003098052576409283
0.8014,25.1,373.0,40.0,0.00412737987595025
0.8014,25.1,373.0,50.0,0.005156707175491219
0.8014,25.1,325.0,10.0,0.0011960415215489344
0.8014,25.1,325.0,20.0,0.0023822208511879157
0.8014,25.1,325.0,30.0,0.003568400180826897
0.8014,25.1,325.0,40.0,0.004754579510465876
0.8014,25.1,325.0,50.0,0.005940758840104857
0.8014,36.92,137.0,10.0,0.0028693265380416123
0.8014,36.92,137.0,20.0,0.005729700990975028
0.8014,36.92,137.0,30.0,0.008590075443908444
0.8014,36.92,137.0,40.0,0.011450449896841863
0.8014,36.92,137.0,50.0,0.014310824349775283
0.8014,36.92,153.0,10.0,0.0025651631335674675
